Image0005
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.986000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,964.537344
1,3.042000,919.157676
2,6.053000,930.994813
3,9.064000,887.434647
4,12.074000,864.081950
5,15.070000,861.410788
6,18.080000,850.689834
7,21.091000,793.727178
8,24.087000,782.136929
9,27.097000,798.680498
10,30.093000,819.632780
11,33.103000,772.529046
12,36.114000,778.668050
13,39.109000,699.045643
14,42.120000,797.252075
15,42.916000,149.804979
16,45.927000,237.774896
17,48.937000,223.257261
18,51.933000,208.326763
19,54.944000,267.698133
20,57.954000,218.254149
21,60.950000,230.533195
22,63.960000,230.101660
23,66.971000,232.151452
24,69.966000,237.926349
25,72.977000,225.686722
26,75.988000,200.803942
27,78.983000,232.803942
28,81.994000,208.844398
29,84.989000,202.725104
30,88.047000,236.634855
31,91.058000,238.007261
32,94.069000,234.932573
33,97.064000,203.503112
34,100.075000,221.103734
35,103.085000,258.345436
36,106.081000,253.644191
37,109.091000,247.288382
38,112.102000,231.814315
39,115.098000,226.874481
40,118.108000,239.160788
41,121.119000,232.126556
42,124.114000,198.321577
43,127.125000,242.485477
44,130.120000,224.909751
45,133.131000,226.510373
46,136.142000,254.581950
47,139.137000,233.655602
48,142.148000,222.107884
49,145.159000,237.208506
50,148.154000,224.604772
51,151.165000,250.033195
52,154.176000,208.429461
53,157.171000,215.490664
54,160.182000,222.334025
55,163.193000,238.996888
56,166.188000,199.637967
57,169.199000,218.955394
58,172.209000,205.522822
59,175.205000,247.182573
60,178.216000,213.353734
61,181.226000,229.848548
62,184.222000,221.170124
63,187.232000,220.860996
64,190.228000,217.256224
65,193.238000,222.329876
66,196.249000,187.518672
67,199.244000,218.158714
68,202.255000,223.618257
69,205.266000,216.081950
70,208.261000,202.576763
71,211.272000,218.986515
72,214.283000,202.507261
73,217.278000,182.245851
74,220.289000,214.224066
75,223.284000,186.986515
76,226.295000,230.300830
77,229.306000,228.699170
78,232.301000,207.747925
79,235.312000,204.985477
80,238.323000,203.923237
81,241.318000,225.502075
82,244.329000,186.894191
83,247.340000,240.081950
84,250.335000,238.382780
85,253.346000,192.637967
86,256.356000,209.898340
87,259.352000,214.717842
88,262.362000,192.963693
89,265.358000,186.169087
90,268.368000,204.924274
91,271.379000,214.298755
92,274.375000,222.622407
93,277.385000,212.301867
94,280.396000,224.926349
95,283.391000,233.318465
96,286.402000,204.334025
97,289.413000,233.595436
98,292.408000,220.010373
99,295.419000,194.961618
100,298.430000,209.482365
101,301.425000,206.261411
102,304.436000,222.093361
103,307.431000,247.070539
104,310.442000,204.852697
105,313.453000,217.158714
106,316.448000,216.062241
107,319.459000,203.826763
108,322.470000,201.985477
109,325.465000,206.930498
110,328.476000,214.674274
111,331.486000,206.253112
112,334.482000,232.687759
113,337.493000,210.708506
114,340.503000,222.769710
115,343.561000,193.825726
116,346.556000,213.875519
117,349.567000,218.630705
118,352.578000,188.161826
119,355.573000,220.031120
120,358.584000,221.181535
121,361.595000,203.343361
122,364.590000,209.309129
123,367.601000,234.751037
124,370.596000,218.464730
125,373.607000,202.771784
126,376.618000,185.186722
127,379.613000,190.647303
128,382.624000,192.931535
129,385.634000,241.746888
130,388.630000,259.758299
131,391.640000,186.689834
132,394.651000,204.868257
133,397.647000,198.912863
134,400.657000,236.139004
135,403.653000,197.930498
136,406.663000,219.035270
137,409.674000,221.633817
138,412.669000,205.922199
139,415.680000,216.663900
140,418.691000,205.276971
141,421.686000,191.216805
142,424.697000,201.642116
143,427.708000,179.783195
144,430.703000,231.018672
145,433.714000,205.018672
146,436.709000,202.867220
147,439.720000,191.932573
148,442.731000,197.769710
149,445.726000,212.071577
150,448.737000,222.146266
151,451.748000,208.141079
152,454.743000,214.443983
153,457.754000,224.513485
154,460.765000,231.100622
155,463.760000,191.760373
156,466.771000,198.890041
157,469.766000,204.544606
158,472.777000,192.427386
159,475.787000,159.322614
160,478.798000,209.323651
161,481.793000,184.935685
162,484.804000,194.572614
163,487.800000,211.579876
164,490.810000,248.687759
165,493.821000,214.690871
166,496.816000,184.508299
167,499.827000,207.540456
168,502.838000,194.516598
169,505.833000,187.977178
170,508.844000,219.693983
171,511.855000,203.063278
172,514.850000,204.550830
173,517.861000,195.453320
174,520.856000,215.154564
175,523.867000,202.593361
176,526.878000,216.725104
177,529.873000,198.975104
178,532.884000,185.991701
179,535.879000,205.340249
180,538.890000,209.263485
181,541.901000,184.069502
182,544.896000,211.397303
183,547.907000,198.893154
184,550.902000,247.713693
185,553.913000,219.288382
186,556.924000,199.192946
187,559.919000,197.978216
188,562.930000,225.809129
189,565.940000,189.385892
190,568.936000,199.941909
191,571.946000,211.621369
192,574.942000,212.357884
193,577.952000,179.634855
194,580.963000,192.374481
195,583.959000,207.782158
196,586.969000,197.678423
197,589.980000,204.851660
198,592.975000,216.559129
199,595.986000,228.211618
