Image0005
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.986000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,1381.961165
1,3.042000,1327.970874
2,6.053000,1235.810680
3,9.064000,1272.694175
4,12.074000,1268.053398
5,15.070000,1249.553398
6,18.080000,1082.834951
7,21.091000,1008.626214
8,24.087000,1150.966019
9,27.097000,1213.917476
10,30.093000,1114.072816
11,33.103000,1020.233010
12,36.114000,986.048544
13,39.109000,959.106796
14,42.120000,1067.757282
15,42.916000,41.635922
16,45.927000,119.082524
17,48.937000,111.121359
18,51.933000,85.781553
19,54.944000,111.577670
20,57.954000,97.961165
21,60.950000,164.699029
22,63.960000,156.936893
23,66.971000,130.995146
24,69.966000,151.466019
25,72.977000,139.432039
26,75.988000,166.281553
27,78.983000,213.961165
28,81.994000,116.980583
29,84.989000,126.854369
30,88.047000,191.470874
31,91.058000,158.752427
32,94.069000,153.708738
33,97.064000,161.558252
34,100.075000,203.932039
35,103.085000,186.975728
36,106.081000,257.577670
37,109.091000,189.500000
38,112.102000,167.582524
39,115.098000,150.834951
40,118.108000,169.165049
41,121.119000,177.917476
42,124.114000,179.300971
43,127.125000,202.951456
44,130.120000,178.601942
45,133.131000,170.689320
46,136.142000,207.893204
47,139.137000,214.932039
48,142.148000,214.791262
49,145.159000,154.169903
50,148.154000,213.480583
51,151.165000,204.092233
52,154.176000,182.315534
53,157.171000,203.742718
54,160.182000,216.587379
55,163.193000,224.470874
56,166.188000,232.524272
57,169.199000,176.800971
58,172.209000,189.194175
59,175.205000,193.257282
60,178.216000,206.810680
61,181.226000,165.927184
62,184.222000,179.087379
63,187.232000,172.150485
64,190.228000,180.305825
65,193.238000,187.393204
66,196.249000,149.368932
67,199.244000,181.242718
68,202.255000,163.315534
69,205.266000,226.330097
70,208.261000,200.587379
71,211.272000,193.606796
72,214.283000,119.902913
73,217.278000,161.961165
74,220.289000,199.679612
75,223.284000,205.184466
76,226.295000,218.281553
77,229.306000,169.830097
78,232.301000,197.723301
79,235.312000,224.495146
80,238.323000,146.029126
81,241.318000,184.509709
82,244.329000,145.825243
83,247.340000,242.548544
84,250.335000,222.864078
85,253.346000,150.936893
86,256.356000,170.378641
87,259.352000,248.247573
88,262.362000,132.975728
89,265.358000,164.223301
90,268.368000,236.723301
91,271.379000,219.796117
92,274.375000,176.446602
93,277.385000,181.533981
94,280.396000,192.082524
95,283.391000,218.383495
96,286.402000,247.825243
97,289.413000,190.402913
98,292.408000,184.592233
99,295.419000,190.519417
100,298.430000,189.533981
101,301.425000,193.422330
102,304.436000,201.155340
103,307.431000,231.179612
104,310.442000,225.169903
105,313.453000,187.417476
106,316.448000,162.101942
107,319.459000,206.500000
108,322.470000,206.907767
109,325.465000,189.990291
110,328.476000,231.155340
111,331.486000,193.106796
112,334.482000,206.800971
113,337.493000,200.150485
114,340.503000,259.616505
115,343.561000,198.242718
116,346.556000,248.393204
117,349.567000,235.864078
118,352.578000,207.737864
119,355.573000,220.475728
120,358.584000,190.058252
121,361.595000,184.684466
122,364.590000,205.349515
123,367.601000,265.296117
124,370.596000,187.140777
125,373.607000,238.378641
126,376.618000,198.456311
127,379.613000,206.296117
128,382.624000,175.519417
129,385.634000,210.135922
130,388.630000,288.368932
131,391.640000,191.145631
132,394.651000,240.063107
133,397.647000,193.257282
134,400.657000,309.169903
135,403.653000,212.441748
136,406.663000,224.436893
137,409.674000,282.058252
138,412.669000,273.631068
139,415.680000,180.402913
140,418.691000,206.004854
141,421.686000,233.203883
142,424.697000,221.533981
143,427.708000,184.441748
144,430.703000,262.533981
145,433.714000,221.563107
146,436.709000,203.951456
147,439.720000,178.650485
148,442.731000,206.703883
149,445.726000,246.898058
150,448.737000,199.713592
151,451.748000,231.383495
152,454.743000,225.203883
153,457.754000,183.951456
154,460.765000,212.922330
155,463.760000,173.019417
156,466.771000,191.228155
157,469.766000,189.194175
158,472.777000,207.451456
159,475.787000,194.786408
160,478.798000,200.300971
161,481.793000,256.145631
162,484.804000,204.432039
163,487.800000,241.514563
164,490.810000,238.407767
165,493.821000,255.364078
166,496.816000,174.946602
167,499.827000,281.432039
168,502.838000,194.208738
169,505.833000,212.737864
170,508.844000,199.242718
171,511.855000,268.684466
172,514.850000,207.728155
173,517.861000,232.485437
174,520.856000,237.927184
175,523.867000,232.825243
176,526.878000,248.684466
177,529.873000,232.655340
178,532.884000,199.995146
179,535.879000,236.067961
180,538.890000,222.291262
181,541.901000,223.398058
182,544.896000,229.203883
183,547.907000,308.116505
184,550.902000,307.407767
185,553.913000,257.174757
186,556.924000,254.300971
187,559.919000,277.655340
188,562.930000,237.344660
189,565.940000,237.456311
190,568.936000,197.364078
191,571.946000,189.859223
192,574.942000,262.203883
193,577.952000,185.417476
194,580.963000,243.616505
195,583.959000,164.655340
196,586.969000,214.330097
197,589.980000,206.500000
198,592.975000,236.131068
199,595.986000,224.077670
