Image0005
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.986000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,1149.660788
1,3.042000,1006.808091
2,6.053000,1028.819502
3,9.064000,943.766598
4,12.074000,942.344398
5,15.070000,964.144191
6,18.080000,1007.930498
7,21.091000,889.252075
8,24.087000,953.874481
9,27.097000,953.060166
10,30.093000,922.347510
11,33.103000,918.337137
12,36.114000,910.169087
13,39.109000,873.408714
14,42.120000,892.490664
15,42.916000,766.059129
16,45.927000,834.188797
17,48.937000,810.421162
18,51.933000,831.853734
19,54.944000,852.036307
20,57.954000,804.345436
21,60.950000,775.881743
22,63.960000,792.271784
23,66.971000,739.773859
24,69.966000,852.854772
25,72.977000,787.162863
26,75.988000,802.927386
27,78.983000,771.148340
28,81.994000,737.180498
29,84.989000,751.383817
30,88.047000,801.050830
31,91.058000,662.831950
32,94.069000,763.050830
33,97.064000,738.965768
34,100.075000,705.477178
35,103.085000,749.151452
36,106.081000,758.097510
37,109.091000,732.275934
38,112.102000,788.032158
39,115.098000,773.154564
40,118.108000,689.562241
41,121.119000,761.640041
42,124.114000,664.413900
43,127.125000,676.988589
44,130.120000,678.005187
45,133.131000,754.979253
46,136.142000,731.234440
47,139.137000,686.596473
48,142.148000,681.703320
49,145.159000,690.909751
50,148.154000,693.702282
51,151.165000,680.180498
52,154.176000,680.778008
53,157.171000,697.155602
54,160.182000,684.346473
55,163.193000,675.250000
56,166.188000,707.871369
57,169.199000,642.546680
58,172.209000,652.301867
59,175.205000,716.668050
60,178.216000,626.665975
61,181.226000,656.620332
62,184.222000,653.440871
63,187.232000,615.387967
64,190.228000,713.356846
65,193.238000,653.872407
66,196.249000,671.223029
67,199.244000,622.175311
68,202.255000,670.041494
69,205.266000,635.984440
70,208.261000,695.122407
71,211.272000,642.870332
72,214.283000,657.502075
73,217.278000,634.488589
74,220.289000,702.418050
75,223.284000,625.782158
76,226.295000,658.201245
77,229.306000,651.371369
78,232.301000,612.933610
79,235.312000,646.412863
80,238.323000,577.884855
81,241.318000,660.802905
82,244.329000,620.554979
83,247.340000,619.005187
84,250.335000,599.453320
85,253.346000,591.014523
86,256.356000,639.929461
87,259.352000,594.408714
88,262.362000,610.062241
89,265.358000,652.658714
90,268.368000,648.122407
91,271.379000,636.316390
92,274.375000,633.589212
93,277.385000,637.078838
94,280.396000,632.102697
95,283.391000,666.174274
96,286.402000,631.387967
97,289.413000,621.143154
98,292.408000,621.164938
99,295.419000,638.881743
100,298.430000,624.459544
101,301.425000,621.520747
102,304.436000,526.214730
103,307.431000,612.113071
104,310.442000,607.524896
105,313.453000,576.132780
106,316.448000,638.895228
107,319.459000,562.267635
108,322.470000,562.943983
109,325.465000,598.135892
110,328.476000,560.459544
111,331.486000,574.240664
112,334.482000,636.278008
113,337.493000,491.823651
114,340.503000,591.653527
115,343.561000,572.933610
116,346.556000,566.475104
117,349.567000,573.255187
118,352.578000,593.417012
119,355.573000,584.030083
120,358.584000,648.487552
121,361.595000,598.188797
122,364.590000,541.205394
123,367.601000,578.939834
124,370.596000,587.012448
125,373.607000,574.813278
126,376.618000,576.524896
127,379.613000,583.679461
128,382.624000,552.435685
129,385.634000,593.402490
130,388.630000,610.428423
131,391.640000,549.909751
132,394.651000,534.381743
133,397.647000,558.101660
134,400.657000,567.182573
135,403.653000,551.848548
136,406.663000,553.502075
137,409.674000,596.996888
138,412.669000,578.696058
139,415.680000,552.886929
140,418.691000,546.425311
141,421.686000,540.811203
142,424.697000,533.377593
143,427.708000,555.880705
144,430.703000,547.330913
145,433.714000,561.014523
146,436.709000,544.667012
147,439.720000,557.792531
148,442.731000,587.298755
149,445.726000,591.903527
150,448.737000,531.561203
151,451.748000,550.676349
152,454.743000,553.504149
153,457.754000,579.684647
154,460.765000,539.141079
155,463.760000,517.482365
156,466.771000,534.181535
157,469.766000,550.539419
158,472.777000,545.404564
159,475.787000,529.973029
160,478.798000,543.389004
161,481.793000,532.958506
162,484.804000,519.332988
163,487.800000,556.540456
164,490.810000,555.871369
165,493.821000,510.398340
166,496.816000,580.088174
167,499.827000,487.211618
168,502.838000,530.022822
169,505.833000,540.804979
170,508.844000,483.295643
171,511.855000,502.303942
172,514.850000,513.465768
173,517.861000,541.150415
174,520.856000,520.834025
175,523.867000,547.351660
176,526.878000,479.644191
177,529.873000,514.785270
178,532.884000,539.192946
179,535.879000,504.007261
180,538.890000,524.819502
181,541.901000,513.286307
182,544.896000,499.654564
183,547.907000,537.657676
184,550.902000,535.948133
185,553.913000,515.693983
186,556.924000,519.173237
187,559.919000,523.276971
188,562.930000,558.188797
189,565.940000,547.622407
190,568.936000,525.348548
191,571.946000,537.264523
192,574.942000,514.891079
193,577.952000,520.070539
194,580.963000,512.525934
195,583.959000,530.711618
196,586.969000,484.501037
197,589.980000,524.059129
198,592.975000,499.167012
199,595.986000,532.198133
