Image0007
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region6  (Intensity Average),RGB:0,255,0

No,Time :0.000000 to 595.393000 (s),Ch1 Region6  (Intensity Average)
0,0.000000,11.272964
1,3.011000,14.314558
2,6.084000,16.345754
3,9.079000,12.144714
4,12.074000,11.203640
5,15.085000,11.818891
6,18.080000,16.594454
7,21.091000,12.476603
8,24.086000,8.254766
9,27.097000,13.907279
10,30.108000,13.675910
11,33.119000,15.188042
12,36.130000,7.854419
13,39.125000,13.777296
14,42.120000,9.830156
15,43.025000,12.347487
16,46.067000,9.217504
17,49.093000,15.465338
18,52.089000,11.012132
19,55.084000,15.538995
20,58.095000,11.545061
21,61.090000,14.412478
22,64.101000,14.275563
23,67.096000,17.590121
24,70.107000,8.381282
25,73.102000,18.626516
26,76.097000,7.766031
27,79.108000,15.231369
28,82.103000,17.624783
29,85.114000,19.500000
30,88.109000,12.600520
31,91.104000,15.439341
32,94.115000,12.042461
33,97.110000,10.781629
34,100.121000,18.751300
35,103.117000,10.928076
36,106.112000,14.963605
37,109.123000,12.652513
38,112.118000,19.777296
39,115.129000,15.427210
40,118.124000,18.622184
41,121.119000,13.413345
42,124.130000,11.573657
43,127.125000,15.337955
44,130.136000,17.204506
45,133.131000,10.112652
46,136.126000,12.373484
47,139.137000,13.626516
48,142.132000,10.246101
49,145.143000,9.207972
50,148.138000,14.285962
51,151.134000,15.883016
52,154.144000,18.189775
53,157.140000,15.694107
54,160.150000,11.674177
55,163.146000,19.709705
56,166.141000,17.831889
57,169.152000,17.522530
58,172.147000,19.251300
59,175.158000,11.963605
60,178.153000,14.828423
61,181.148000,11.253899
62,184.159000,11.621317
63,187.154000,15.162045
64,190.165000,16.376083
65,193.160000,11.044194
66,196.155000,29.679376
67,199.166000,11.558925
68,202.162000,14.214038
69,205.172000,11.895147
70,208.168000,13.849220
71,211.178000,20.129983
72,214.174000,24.277296
73,217.169000,21.168111
74,220.180000,10.132582
75,223.175000,10.913345
76,226.186000,20.124783
77,229.181000,13.168977
78,232.176000,20.156846
79,235.187000,27.116118
80,238.182000,12.941941
81,241.193000,24.258232
82,244.188000,27.110052
83,247.183000,15.751300
84,250.194000,17.481802
85,253.189000,18.861352
86,256.200000,18.196707
87,259.196000,14.523397
88,262.191000,16.254766
89,265.202000,12.039861
90,268.197000,16.963605
91,271.208000,13.970537
92,274.203000,14.766898
93,277.198000,16.796360
94,280.209000,12.223570
95,283.204000,19.200173
96,286.215000,15.420277
97,289.210000,15.316291
98,292.205000,16.734835
99,295.216000,12.935875
100,298.211000,21.044194
101,301.222000,18.365685
102,304.217000,14.958406
103,307.213000,17.304159
104,310.223000,8.924610
105,313.219000,15.901213
106,316.229000,12.208839
107,319.225000,16.675910
108,322.220000,14.051127
109,325.231000,14.561525
110,328.226000,22.214038
111,331.237000,22.839688
112,334.232000,13.305026
113,337.243000,18.598787
114,340.238000,24.259099
115,343.233000,21.209705
116,346.244000,12.789428
117,349.239000,13.623050
118,352.235000,16.324090
119,355.245000,17.132582
120,358.241000,17.011265
121,361.251000,15.292894
122,364.247000,23.498267
123,367.257000,21.061525
124,370.253000,14.030329
125,373.248000,12.394281
126,376.259000,26.342288
127,379.254000,19.346620
128,382.265000,15.006066
129,385.260000,15.054593
130,388.271000,20.374350
131,391.266000,16.310225
132,394.261000,19.089255
133,397.272000,14.871750
134,400.267000,18.552860
135,403.278000,13.324957
136,406.289000,18.741768
137,409.284000,22.751300
138,412.279000,19.714038
139,415.290000,15.496534
140,418.285000,17.001733
141,421.296000,21.342288
142,424.291000,23.234835
143,427.302000,20.111785
144,430.297000,21.953206
145,433.293000,16.561525
146,436.303000,24.929809
147,439.299000,18.123917
148,442.309000,21.106586
149,445.305000,19.370884
150,448.300000,30.124783
151,451.311000,16.103120
152,454.306000,18.357019
153,457.317000,23.053726
154,460.312000,21.555459
155,463.323000,18.902080
156,466.318000,22.286828
157,469.329000,23.651646
158,472.324000,17.446274
159,475.335000,20.364818
160,478.330000,17.942808
161,481.325000,19.923744
162,484.336000,20.543328
163,487.331000,16.866551
164,490.342000,13.867418
165,493.337000,15.105719
166,496.348000,13.559792
167,499.343000,24.357019
168,502.339000,18.404679
169,505.349000,14.896014
170,508.345000,26.029463
171,511.356000,17.296360
172,514.351000,13.045061
173,517.346000,13.273830
174,520.357000,24.876950
175,523.352000,17.418544
176,526.363000,24.913345
177,529.358000,15.055459
178,532.353000,22.090121
179,535.364000,26.218371
180,538.359000,20.214905
181,541.370000,19.965338
182,544.365000,24.317158
183,547.361000,18.330156
184,550.371000,20.621317
185,553.367000,22.560659
186,556.362000,23.735702
187,559.373000,17.188042
188,562.368000,21.697574
189,565.379000,16.948873
190,568.374000,19.859619
191,571.369000,16.838821
192,574.380000,23.760832
193,577.375000,21.234835
194,580.386000,13.257366
195,583.381000,19.882149
196,586.376000,25.844021
197,589.387000,23.099653
198,592.382000,23.116118
199,595.393000,16.557192
