Image0007
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region6  (Intensity Average),RGB:0,255,0

No,Time :0.000000 to 595.393000 (s),Ch1 Region6  (Intensity Average)
0,0.000000,1134.124553
1,3.011000,1135.617037
2,6.084000,1115.876879
3,9.079000,1061.871152
4,12.074000,1068.329993
5,15.085000,1028.778096
6,18.080000,995.793844
7,21.091000,961.721546
8,24.086000,956.976378
9,27.097000,931.252684
10,30.108000,967.203293
11,33.119000,966.968504
12,36.130000,960.454545
13,39.125000,875.924123
14,42.120000,908.518969
15,43.025000,841.194703
16,46.067000,927.566213
17,49.093000,807.372226
18,52.089000,818.831067
19,55.084000,836.398712
20,58.095000,786.615605
21,61.090000,762.603436
22,64.101000,856.694345
23,67.096000,777.446671
24,70.107000,766.272011
25,73.102000,781.072298
26,76.097000,811.853973
27,79.108000,789.863278
28,82.103000,777.360057
29,85.114000,723.599141
30,88.109000,769.110236
31,91.104000,728.228346
32,94.115000,679.000716
33,97.110000,725.307802
34,100.121000,706.894059
35,103.117000,733.241231
36,106.112000,694.103078
37,109.123000,721.826056
38,112.118000,702.415175
39,115.129000,668.115963
40,118.124000,706.877595
41,121.119000,678.339298
42,124.130000,718.191124
43,127.125000,670.560487
44,130.136000,625.560487
45,133.131000,703.102362
46,136.126000,678.448103
47,139.137000,682.563350
48,142.132000,671.038654
49,145.143000,689.274875
50,148.138000,666.367931
51,151.134000,668.699356
52,154.144000,618.152470
53,157.140000,639.914102
54,160.150000,638.559055
55,163.146000,644.670007
56,166.141000,644.061560
57,169.152000,634.232641
58,172.147000,639.190408
59,175.158000,650.793844
60,178.153000,630.952756
61,181.148000,618.120974
62,184.159000,594.192555
63,187.154000,651.366500
64,190.165000,608.542591
65,193.160000,654.493200
66,196.155000,650.305655
67,199.166000,603.841804
68,202.162000,576.066571
69,205.172000,601.386543
70,208.168000,612.411596
71,211.178000,574.959198
72,214.174000,616.413744
73,217.169000,604.959914
74,220.180000,591.390122
75,223.175000,585.602720
76,226.186000,599.240515
77,229.181000,566.976378
78,232.176000,556.601288
79,235.187000,587.512527
80,238.182000,532.076593
81,241.193000,573.612026
82,244.188000,573.349320
83,247.183000,581.798139
84,250.194000,583.389406
85,253.189000,550.680029
86,256.200000,561.541875
87,259.196000,574.521832
88,262.191000,571.272727
89,265.202000,579.944166
90,268.197000,587.691482
91,271.208000,570.722262
92,274.203000,535.690050
93,277.198000,558.414460
94,280.209000,520.342878
95,283.204000,562.172513
96,286.215000,549.353615
97,289.210000,544.133142
98,292.205000,528.186829
99,295.216000,519.283465
100,298.211000,543.675734
101,301.222000,547.783822
102,304.217000,544.866858
103,307.213000,569.381532
104,310.223000,539.273443
105,313.219000,511.767359
106,316.229000,500.522548
107,319.225000,530.840372
108,322.220000,518.544023
109,325.231000,565.413028
110,328.226000,542.380100
111,331.237000,511.818182
112,334.232000,543.324266
113,337.243000,551.264137
114,340.238000,516.208304
115,343.233000,515.623479
116,346.244000,486.780959
117,349.239000,471.746600
118,352.235000,507.377237
119,355.245000,474.901933
120,358.241000,508.342162
121,361.251000,546.395132
122,364.247000,492.415175
123,367.257000,510.065855
124,370.253000,523.574087
125,373.248000,519.849678
126,376.259000,493.658554
127,379.254000,498.611310
128,382.265000,485.333572
129,385.260000,492.737294
130,388.271000,509.932713
131,391.266000,472.886901
132,394.261000,476.937008
133,397.272000,489.932713
134,400.267000,487.924123
135,403.278000,495.333572
136,406.289000,471.486042
137,409.284000,505.831067
138,412.279000,491.848246
139,415.290000,464.570508
140,418.285000,488.959914
141,421.296000,454.014316
142,424.291000,466.364352
143,427.302000,495.947029
144,430.297000,469.630637
145,433.293000,469.172513
146,436.303000,461.139585
147,439.299000,455.444524
148,442.309000,478.524696
149,445.305000,460.586256
150,448.300000,480.277022
151,451.311000,467.267001
152,454.306000,458.554044
153,457.317000,457.997137
154,460.312000,468.285612
155,463.323000,416.820329
156,466.318000,441.109520
157,469.329000,453.858984
158,472.324000,422.625626
159,475.335000,443.123121
160,478.330000,442.038654
161,481.325000,429.068719
162,484.336000,449.294918
163,487.331000,434.950608
164,490.342000,477.021475
165,493.337000,470.987115
166,496.348000,432.785970
167,499.343000,436.625626
168,502.339000,468.675734
169,505.349000,431.988547
170,508.345000,440.450251
171,511.356000,456.566213
172,514.351000,422.556192
173,517.346000,420.700072
174,520.357000,451.085898
175,523.352000,429.636364
176,526.363000,444.640659
177,529.358000,433.901217
178,532.353000,421.032928
179,535.364000,423.262706
180,538.359000,423.446671
181,541.370000,443.630637
182,544.365000,450.750895
183,547.361000,426.182534
184,550.371000,421.420186
185,553.367000,433.317108
186,556.362000,415.028633
187,559.373000,415.728704
188,562.368000,423.279170
189,565.379000,451.687903
190,568.374000,434.100931
191,571.369000,421.564066
192,574.380000,406.511811
193,577.375000,403.280601
194,580.386000,395.597709
195,583.381000,414.783107
196,586.376000,396.105941
197,589.387000,400.452398
198,592.382000,434.795991
199,595.393000,423.638511
