Image0007
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region6  (Intensity Average),RGB:0,255,0

No,Time :0.000000 to 595.393000 (s),Ch1 Region6  (Intensity Average)
0,0.000000,2025.270833
1,3.011000,1964.375000
2,6.084000,1844.125000
3,9.079000,1895.750000
4,12.074000,1825.072917
5,15.085000,1805.156250
6,18.080000,1821.687500
7,21.091000,1653.937500
8,24.086000,1937.437500
9,27.097000,1784.718750
10,30.108000,1605.281250
11,33.119000,1792.395833
12,36.130000,1780.135417
13,39.125000,1585.208333
14,42.120000,1629.614583
15,43.025000,121.041667
16,46.067000,398.802083
17,49.093000,435.906250
18,52.089000,354.156250
19,55.084000,465.510417
20,58.095000,357.458333
21,61.090000,439.427083
22,64.101000,538.520833
23,67.096000,525.875000
24,70.107000,510.093750
25,73.102000,485.281250
26,76.097000,639.187500
27,79.108000,537.687500
28,82.103000,505.031250
29,85.114000,577.875000
30,88.109000,544.520833
31,91.104000,642.000000
32,94.115000,675.385417
33,97.110000,592.510417
34,100.121000,770.666667
35,103.117000,585.739583
36,106.112000,662.427083
37,109.123000,647.864583
38,112.118000,517.781250
39,115.129000,600.364583
40,118.124000,660.062500
41,121.119000,657.187500
42,124.130000,657.427083
43,127.125000,582.552083
44,130.136000,613.177083
45,133.131000,716.010417
46,136.126000,637.031250
47,139.137000,735.395833
48,142.132000,666.687500
49,145.143000,874.895833
50,148.138000,749.041667
51,151.134000,465.333333
52,154.144000,529.000000
53,157.140000,642.552083
54,160.150000,504.395833
55,163.146000,671.239583
56,166.141000,629.927083
57,169.152000,715.281250
58,172.147000,686.156250
59,175.158000,688.333333
60,178.153000,725.406250
61,181.148000,640.416667
62,184.159000,827.093750
63,187.154000,872.520833
64,190.165000,678.625000
65,193.160000,685.958333
66,196.155000,697.989583
67,199.166000,678.343750
68,202.162000,507.770833
69,205.172000,669.270833
70,208.168000,753.416667
71,211.178000,670.875000
72,214.174000,753.229167
73,217.169000,848.739583
74,220.180000,598.250000
75,223.175000,725.562500
76,226.186000,594.385417
77,229.181000,691.833333
78,232.176000,687.020833
79,235.187000,692.968750
80,238.182000,775.541667
81,241.193000,699.875000
82,244.188000,731.468750
83,247.183000,864.000000
84,250.194000,730.000000
85,253.189000,824.052083
86,256.200000,740.958333
87,259.196000,786.145833
88,262.191000,692.833333
89,265.202000,723.114583
90,268.197000,894.375000
91,271.208000,790.010417
92,274.203000,752.104167
93,277.198000,754.281250
94,280.209000,810.677083
95,283.204000,871.427083
96,286.215000,865.979167
97,289.210000,772.093750
98,292.205000,762.604167
99,295.216000,912.333333
100,298.211000,814.708333
101,301.222000,807.187500
102,304.217000,704.072917
103,307.213000,593.958333
104,310.223000,719.583333
105,313.219000,760.729167
106,316.229000,863.114583
107,319.225000,808.302083
108,322.220000,736.958333
109,325.231000,805.854167
110,328.226000,951.781250
111,331.237000,855.010417
112,334.232000,888.375000
113,337.243000,719.635417
114,340.238000,933.187500
115,343.233000,786.718750
116,346.244000,832.385417
117,349.239000,808.114583
118,352.235000,962.812500
119,355.245000,829.739583
120,358.241000,830.020833
121,361.251000,837.666667
122,364.247000,792.250000
123,367.257000,800.458333
124,370.253000,769.770833
125,373.248000,934.218750
126,376.259000,984.364583
127,379.254000,1125.677083
128,382.265000,981.729167
129,385.260000,863.750000
130,388.271000,891.000000
131,391.266000,759.041667
132,394.261000,791.302083
133,397.272000,857.229167
134,400.267000,805.656250
135,403.278000,933.989583
136,406.289000,931.541667
137,409.284000,693.687500
138,412.279000,802.447917
139,415.290000,871.166667
140,418.285000,881.458333
141,421.296000,886.322917
142,424.291000,931.406250
143,427.302000,942.937500
144,430.297000,1015.572917
145,433.293000,943.520833
146,436.303000,868.250000
147,439.299000,832.395833
148,442.309000,862.406250
149,445.305000,1029.427083
150,448.300000,930.322917
151,451.311000,1058.739583
152,454.306000,937.541667
153,457.317000,1147.260417
154,460.312000,1079.447917
155,463.323000,1011.114583
156,466.318000,1076.239583
157,469.329000,1000.885417
158,472.324000,874.854167
159,475.335000,1026.458333
160,478.330000,1103.187500
161,481.325000,865.406250
162,484.336000,1010.677083
163,487.331000,928.791667
164,490.342000,1156.562500
165,493.337000,920.593750
166,496.348000,919.989583
167,499.343000,1055.229167
168,502.339000,1004.916667
169,505.349000,974.583333
170,508.345000,1028.083333
171,511.356000,1138.375000
172,514.351000,1046.541667
173,517.346000,891.937500
174,520.357000,941.541667
175,523.352000,993.010417
176,526.363000,1060.791667
177,529.358000,1075.406250
178,532.353000,965.385417
179,535.364000,947.322917
180,538.359000,967.583333
181,541.370000,928.791667
182,544.365000,900.645833
183,547.361000,887.208333
184,550.371000,1164.677083
185,553.367000,963.635417
186,556.362000,870.156250
187,559.373000,1142.197917
188,562.368000,1083.406250
189,565.379000,1017.104167
190,568.374000,1037.062500
191,571.369000,1029.593750
192,574.380000,911.062500
193,577.375000,1195.791667
194,580.386000,930.385417
195,583.381000,1001.458333
196,586.376000,1135.218750
197,589.387000,1025.000000
198,592.382000,983.083333
199,595.393000,908.947917
