Image0002
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.611000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,9.055901
1,3.057000,10.000000
2,6.084000,13.409938
3,9.094000,16.503106
4,12.090000,13.664596
5,15.100000,5.913043
6,18.096000,20.546584
7,21.106000,3.726708
8,24.102000,19.472050
9,27.113000,29.378882
10,30.108000,29.428571
11,33.119000,17.633540
12,36.114000,49.708075
13,39.125000,28.894410
14,42.120000,18.322981
15,42.869000,11.130435
16,45.879000,14.149068
17,48.875000,22.093168
18,51.885000,16.428571
19,54.881000,41.962733
20,57.892000,40.223602
21,60.887000,11.763975
22,63.898000,4.341615
23,66.893000,10.242236
24,69.904000,13.627329
25,72.899000,23.440994
26,75.910000,24.391304
27,78.905000,12.993789
28,81.916000,33.167702
29,84.911000,21.608696
30,87.922000,8.739130
31,90.917000,20.391304
32,93.928000,18.391304
33,96.923000,27.534161
34,99.934000,18.229814
35,102.929000,1.813665
36,105.940000,24.229814
37,108.935000,18.844720
38,111.946000,3.894410
39,114.941000,16.739130
40,117.952000,64.000000
41,120.947000,27.708075
42,123.958000,20.968944
43,126.953000,39.695652
44,129.964000,29.453416
45,132.959000,15.440994
46,135.970000,31.844720
47,138.965000,9.925466
48,141.976000,30.267081
49,144.971000,77.863354
50,147.982000,22.322981
51,150.977000,12.118012
52,153.988000,15.372671
53,156.983000,33.714286
54,159.994000,20.944099
55,162.989000,35.204969
56,166.000000,22.031056
57,168.995000,26.366460
58,172.006000,29.018634
59,175.064000,28.360248
60,178.059000,56.546584
61,181.086000,19.409938
62,184.081000,14.291925
63,187.092000,31.037267
64,190.087000,52.732919
65,193.098000,28.273292
66,196.093000,41.416149
67,199.104000,43.770186
68,202.099000,24.130435
69,205.110000,30.335404
70,208.105000,54.149068
71,211.116000,34.012422
72,214.111000,50.925466
73,217.122000,20.161491
74,220.117000,49.714286
75,223.128000,41.378882
76,226.123000,14.645963
77,229.134000,41.807453
78,232.129000,30.006211
79,235.140000,39.801242
80,238.135000,49.739130
81,241.146000,33.832298
82,244.141000,48.472050
83,247.152000,76.745342
84,250.147000,28.944099
85,253.158000,26.049689
86,256.153000,65.472050
87,259.164000,33.677019
88,262.159000,35.968944
89,265.170000,42.577640
90,268.165000,58.316770
91,271.176000,48.968944
92,274.171000,68.378882
93,277.182000,21.869565
94,280.177000,57.838509
95,283.188000,127.204969
96,286.183000,26.012422
97,289.194000,59.577640
98,292.205000,48.708075
99,295.200000,47.881988
100,298.211000,53.192547
101,301.206000,58.888199
102,304.217000,31.055901
103,307.212000,37.788820
104,310.223000,57.832298
105,313.218000,35.596273
106,316.229000,80.881988
107,319.224000,53.993789
108,322.235000,80.913043
109,325.230000,60.552795
110,328.241000,40.217391
111,331.236000,35.944099
112,334.247000,61.229814
113,337.243000,49.354037
114,340.253000,67.043478
115,343.249000,55.459627
116,346.259000,70.149068
117,349.255000,142.403727
118,352.265000,69.639752
119,355.261000,88.968944
120,358.271000,109.254658
121,361.267000,56.055901
122,364.277000,98.894410
123,367.273000,104.347826
124,370.284000,51.695652
125,373.279000,106.316770
126,376.290000,77.813665
127,379.285000,87.583851
128,382.296000,71.658385
129,385.291000,71.701863
130,388.302000,92.875776
131,391.297000,177.055901
132,394.308000,94.260870
133,397.318000,81.490683
134,400.314000,94.981366
135,403.325000,81.055901
136,406.320000,126.099379
137,409.331000,86.378882
138,412.326000,160.049689
139,415.337000,106.782609
140,418.332000,85.559006
141,421.343000,102.950311
142,424.338000,114.819876
143,427.349000,99.037267
144,430.344000,110.217391
145,433.355000,83.993789
146,436.350000,145.080745
147,439.361000,164.024845
148,442.356000,172.354037
149,445.367000,178.142857
150,448.362000,157.335404
151,451.373000,89.819876
152,454.368000,117.881988
153,457.379000,132.583851
154,460.374000,132.664596
155,463.385000,141.621118
156,466.380000,133.795031
157,469.391000,119.565217
158,472.386000,181.931677
159,475.397000,104.453416
160,478.392000,124.521739
161,481.403000,175.167702
162,484.398000,128.111801
163,487.409000,182.440994
164,490.404000,138.366460
165,493.415000,211.037267
166,496.426000,168.770186
167,499.421000,142.919255
168,502.432000,139.049689
169,505.427000,127.428571
170,508.438000,183.211180
171,511.433000,238.049689
172,514.444000,182.273292
173,517.439000,229.254658
174,520.450000,163.204969
175,523.445000,220.223602
176,526.456000,191.453416
177,529.451000,208.335404
178,532.462000,187.770186
179,535.457000,129.472050
180,538.468000,145.968944
181,541.463000,126.664596
182,544.474000,172.521739
183,547.469000,159.987578
184,550.480000,211.881988
185,553.475000,131.559006
186,556.486000,146.652174
187,559.482000,204.894410
188,562.492000,152.645963
189,565.503000,155.223602
190,568.498000,141.285714
191,571.509000,185.490683
192,574.551000,128.186335
193,577.578000,225.670807
194,580.588000,264.043478
195,583.584000,166.161491
196,586.595000,204.459627
197,589.590000,141.950311
198,592.601000,150.546584
199,595.611000,239.633540
